year,iso,mv,close,weight,weight_float
2015,GRC,42079.58,0.45130926,6.33E-04,4.60E-04
2016,GRC,37163.04898,0.483833629,5.38E-04,3.66E-04
2017,GRC,50605.06,0.489536344,6.00E-04,4.06E-04
2018,GRC,38370.85,0.537161506,5.23E-04,3.18E-04
2019,GRC,53653.98,0.513754497,6.16E-04,4.02E-04
2020,GRC,50986.89,0.539666855,5.00E-04,3.11E-04
2021,GRC,56384,0.511749838,5.84E-04,3.60E-04
1999,HKG,608159.39,0.451822767,0.017724602,0.013120962
2000,HKG,623397.74,0.469999934,0.019991593,0.013576472
2001,HKG,506072.92,0.455286158,0.01871776,0.013024368
2002,HKG,463054.92,0.449934249,0.020266665,0.014425738
2003,HKG,714597.3,0.438289222,0.02284978,0.016877025
2004,HKG,861462.92,0.46342594,0.023210032,0.016426535
2005,HKG,1054999.32,0.450218109,0.025066846,0.018497441
2006,HKG,1714953.25,0.502837342,0.033084096,0.022270399
2007,HKG,2654416.06,0.538391048,0.042392022,0.027973545
2008,HKG,1328768.47,0.544465413,0.040105108,0.025704146
2009,HKG,2305142.81,0.535974994,0.048189639,0.032418679
2010,HKG,2711316.16,0.544420915,0.049257564,0.032662776
2011,HKG,2258035.2,0.537391424,0.047179655,0.030321232
2012,HKG,2831945.86,0.539922466,0.051366365,0.031954587
2013,HKG,3100777.15,0.532855147,0.047982205,0.029530156
2014,HKG,3233030.59,0.579325735,0.047867135,0.026496007
2015,HKG,3184874.22,0.571358988,0.047885067,0.027185275
2016,HKG,3193235.543,0.565432566,0.046235693,0.026497175
2017,HKG,4350514.61,0.551584133,0.051591217,0.030678688
2018,HKG,3819215.4,0.554722128,0.052066103,0.030424393
2019,HKG,4899234.58,0.551814608,0.056206086,0.033809777
2020,HKG,6130420.43,0.526862727,0.06016042,0.038494107
2021,HKG,2966506,0.509699814,0.030736116,0.019011697
1999,HUN,15957,0.503795367,4.65E-04,3.12E-04
2000,HUN,11832,0.562287323,3.79E-04,2.13E-04
2001,HUN,10254,0.548025373,3.79E-04,2.19E-04
2002,HUN,13022,0.43624462,5.70E-04,4.16E-04
2003,HUN,16662.91,0.469453274,5.33E-04,3.72E-04
2004,HUN,28597.85,0.334526144,7.70E-04,6.76E-04
2005,HUN,32575.67,0.481832635,7.74E-04,5.38E-04
2006,HUN,41934.49,0.378954736,8.09E-04,6.80E-04
2007,HUN,46195.63,0.382561067,7.38E-04,6.51E-04
2008,HUN,18693,0.332579097,5.64E-04,5.30E-04
2009,HUN,30181,0.346402059,6.31E-04,5.98E-04
2010,HUN,27708.41,0.344067907,5.03E-04,4.81E-04
2011,HUN,18895,0.424539267,3.95E-04,3.16E-04
2012,HUN,20826,0.445333937,3.78E-04,2.83E-04
2013,HUN,19797.41,0.397685343,3.06E-04,2.43E-04
2014,HUN,14513.28,0.448758245,2.15E-04,1.56E-04
2015,HUN,17686.95,0.419618011,2.66E-04,2.04E-04
2016,HUN,22553.35658,0.453594306,3.27E-04,2.35E-04
2017,HUN,31631,0.407936574,3.75E-04,2.95E-04
2018,HUN,28934.57,0.353334447,3.94E-04,3.35E-04
2019,HUN,32886.53,0.320886333,3.77E-04,3.44E-04
2020,HUN,27970.83,0.315066776,2.74E-04,2.54E-04
2021,HUN,29791,0.317826063,3.09E-04,2.66E-04
1999,IDN,64044.67,0.596132929,0.00186656,0.001018002
2000,IDN,26812.5,0.720918545,8.60E-04,3.07E-04
2001,IDN,22997.86,0.714632474,8.51E-04,3.10E-04
2002,IDN,30066.96,0.690248785,0.00131595,5.27E-04
2003,IDN,54659.06,0.65840357,0.001747764,7.85E-04
2004,IDN,73250.64,0.63891503,0.001973561,9.40E-04
2005,IDN,81428.12,0.657400264,0.001934737,8.90E-04
2006,IDN,138886.36,0.657464602,0.002679332,0.001242631
2007,IDN,211692.97,0.622297336,0.003380816,0.001825411
2008,IDN,98760.6,0.676405392,0.002980809,0.001357118
2009,IDN,214941.47,0.650327106,0.00449341,0.002277919
2010,IDN,360388.1,0.64954589,0.006547315,0.003339725
2011,IDN,390106.89,0.658307897,0.00815094,0.003869199
2012,IDN,428222.56,0.659338432,0.007767181,0.003577749
2013,IDN,346673.81,0.659031173,0.005364518,0.002409791
2014,IDN,422127.05,0.655771655,0.006249867,0.002830835
2015,IDN,353270.96,0.57760148,0.005311482,0.002971516
2016,IDN,425767.7699,0.575503767,0.006164803,0.003451104
2017,IDN,520686.68,0.591867396,0.006174639,0.003341896
2018,IDN,486765.92,0.611521183,0.006635919,0.003383017
2019,IDN,523321.86,0.618187281,0.006003769,0.003076633
2020,IDN,496086.05,0.700695428,0.004868303,0.001970549
2021,IDN,391894,0.695183083,0.004060433,0.001561426
1999,IND,134369,0.455512154,0.003916139,0.002879483
2000,IND,225648.3719,0.421170133,0.007236264,0.005366967
2001,IND,148771.6353,0.597803029,0.005502511,0.002827054
2002,IND,172185.6623,0.579709303,0.007536102,0.00409862
2003,IND,308994.9594,0.612001128,0.009880343,0.005040848
2004,IND,415544.3128,0.606256915,0.011195835,0.005814468
